Vendedor;Produto;Código;Qtde;Preço Médio;Valor;Frete;Desconto;Outras despesas;Total Venda;Custo;Lucro
Vinicius  ;anel prata;;1;132,00;132;0;12;0;120;60;60
Vinicius  ;bag chronic;;1;98,00;98;0;8;0;90;65;25
Vinicius  ;Bag Premium;;6;49,33;296;0;22,53;0;273,47;138;135,47
Vinicius  ;Bermuda Brim;;7;65,57;459;0;45,27;0;413,73;0;-
Vinicius  ;Bermuda Dri-fit;;19;45,00;855;0;63,04;0;791,96;342;449,96
Vinicius  ;Bermuda Dri-fit Premium;;11;77,00;847;0;48,94;0;798,06;0;-
Vinicius  ;bermuda dri-fit recortada;;5;55,00;275;0;27,85;0;247,15;100;147,15
Vinicius  ;Bermuda Drifit EXGG;;5;54,00;270;0;14,92;0;255,08;100;155,08
Vinicius  ;Bermuda Drifit Gucci;;12;55,00;660;0;51,57;0;608,43;300;308,43
Vinicius  ;Bermuda Elastano;;46;65,00;2990;0;177,86;0;2812,14;1334;1.478,14
Vinicius  ;Bermuda Jeans;;60;65,00;3900;0;212,78;0;3687,22;1680;2.007,22
Vinicius  ;Bermuda Jeans EXGG;;4;88,00;352;0;45,46;0;306,54;152;154,54
Vinicius  ;Bermuda Moletom;;2;60,00;120;0;17,14;0;102,86;0;-
Vinicius  ;bermuda premium;;4;77,00;308;0;15,57;0;292,43;132;160,43
Vinicius  ;Bermuda Via Moda;;21;108,57;2280;0;271,58;0;2008,42;945;1.063,42
Vinicius  ;Blusão Moletom;;1;150,00;150;0;0;0;150;65;85
Vinicius  ;Bolador;;1;28,00;28;0;2,03;0;25,97;15,25;10,72
Vinicius  ;Boné Anth-Co;;17;55,00;935;0;56,72;0;878,28;391;487,28
Vinicius  ;Boné Chronic;;1;110,00;110;0;35;0;75;55;20
Vinicius  ;Bone de Grife;;1;55,00;55;0;5;0;50;0;-
Vinicius  ;Boné De Tela;;2;38,00;76;0;3,32;0;72,68;32;40,68
Vinicius  ;Bone five panel;;4;44,00;176;0;18,83;0;157,17;80;77,17
Vinicius  ;Boné Premium;;17;44,00;748;0;69,94;0;678,06;306;372,06
Vinicius  ;Brinco  De Prata 15;;9;15,00;135;0;2,74;0;132,26;63;69,26
Vinicius  ;Brinco De Prata 20;;7;20,00;140;0;2,51;0;137,49;70;67,49
Vinicius  ;Brinco De Prata 30;;2;30,00;60;0;2,24;0;57,76;26;31,76
Vinicius  ;Brinco Prata 25;;5;25,00;125;0;7,93;0;117,07;60;57,07
Vinicius  ;Bucket;;1;44,00;44;0;4;0;40;20;20
Vinicius  ;Bucket Premium;;15;77,00;1155;0;133,57;0;1021,43;525;496,43
Vinicius  ;Bvlgari Couro;;1;130,00;130;0;0;0;130;55;75
Vinicius  ;Bvlgari Roleta;;2;220,00;440;0;35,71;0;404,29;200;204,29
Vinicius  ;Calça Cargo;;15;120,00;1800;0;106,85;0;1693,15;825;868,15
Vinicius  ;Calça Jeans;;6;88,00;528;0;51,17;0;476,83;240;236,83
Vinicius  ;Calça Jogger;;6;103,00;618;0;85,47;0;532,53;270;262,53
Vinicius  ;camisa basica;;4;61,25;245;0;26,93;0;218,07;0;-
Vinicius  ;Camisa Chronic;;62;82,00;5084;0;349,82;0;4734,18;2294;2.440,18
Vinicius  ;Camisa De Time;;2;44,00;88;0;6,52;0;81,48;0;-
